区分番号,区分名称,順番号,項目コード（17桁）,ＸＭＬ表示名,データタイプ,XMLデータ型（PQ:数値型、CD:大小順序のないコード型、CO：大小順序のあるコード型、ST：文字列型）,文字列換算（全角２バイト、半角１バイト）時の最大バイト長,数値型の場合の形式（数字、ピリオドは小数点）,表示用単位,XML用単位（UCUM単位コード）,author要素で表現される診断者または記述者の項目コード,一連検査グループ識別,一連検査グループ関係コード,同一性項目コード,同一性項目名称,XML検査方法コード,検査方法,結果コードOID,項目コードOID,XML化にあたっての備考
600,生活機能基本チェックリスト,2620,9N836000000000011,生活機能問診6,コード,CD,1,N,,,,,,9N836,生活機能問診6,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2630,9N841000000000011,生活機能問診7,コード,CD,1,N,,,,,,9N841,生活機能問診7,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2640,9N846000000000011,生活機能問診8,コード,CD,1,N,,,,,,9N846,生活機能問診8,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2650,9N851000000000011,生活機能問診9,コード,CD,1,N,,,,,,9N851,生活機能問診9,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2660,9N856000000000011,生活機能問診10,コード,CD,1,N,,,,,,9N856,生活機能問診10,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2670,9N861000000000011,生活機能問診11,コード,CD,1,N,,,,,,9N861,生活機能問診11,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2680,9N866000000000001,生活機能問診12,数字,PQ,4,NN.N,kg/m2,kg/m2,,,,9N866,生活機能問診12,,,,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2690,9N871000000000011,生活機能問診13,コード,CD,1,N,,,,,,9N871,生活機能問診13,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2700,9N876000000000011,生活機能問診14,コード,CD,1,N,,,,,,9N876,生活機能問診14,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2710,9N881000000000011,生活機能問診15,コード,CD,1,N,,,,,,9N881,生活機能問診15,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2720,9N886000000000011,生活機能問診16,コード,CD,1,N,,,,,,9N886,生活機能問診16,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2730,9N891000000000011,生活機能問診17,コード,CD,1,N,,,,,,9N891,生活機能問診17,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2740,9N896000000000011,生活機能問診18,コード,CD,1,N,,,,,,9N896,生活機能問診18,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2750,9N901000000000011,生活機能問診19,コード,CD,1,N,,,,,,9N901,生活機能問診19,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2760,9N906000000000011,生活機能問診20,コード,CD,1,N,,,,,,9N906,生活機能問診20,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2770,9N911000000000011,生活機能問診21,コード,CD,1,N,,,,,,9N911,生活機能問診21,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2780,9N916000000000011,生活機能問診22,コード,CD,1,N,,,,,,9N916,生活機能問診22,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2790,9N921000000000011,生活機能問診23,コード,CD,1,N,,,,,,9N921,生活機能問診23,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2800,9N926000000000011,生活機能問診24,コード,CD,1,N,,,,,,9N926,生活機能問診24,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2810,9N931000000000011,生活機能問診25,コード,CD,1,N,,,,,,9N931,生活機能問診25,,,1.2.392.200119.6.2009,1.2.392.200119.6.1005,
700,情報提供,2820,9N950000000000011,情報提供の方法,コード,CD,1,N,,,,,,9N950,情報提供,,,1.2.392.200119.6.18050,1.2.392.200119.6.1005,V3.0で追加
800,初回面接,2830,9N807000000000011,初回面接実施,コード,CD,1,N,,,,,,9N807,初回面接,,,1.2.392.200119.6.18060,1.2.392.200119.6.1005,V3.0で追加
